Data_e_ora,Capitale,Moneta,Prezzo_di_acquisto,Exchange_acq,Prezzo_di_vendita,Exchange_ven,Commissioni_acquisto,Commissioni_vendita,Guadagno_netto
2025-01-30 17:04:05.346307, 3000, XRP, 3.1286, Binance, 3.1354, Bitfinex, 0.1%, 0.1%, 0.51 USDT
2025-01-30 17:04:05.780400, 3000, ADA, 0.9791, Binance, 0.97947, Bitfinex, 0.1%, 0.1%, -4.87 USDT
2025-01-30 17:04:06.233983, 3000, LTC, 131.289, KuCoin, 131.41, Bitfinex, 0.1%, 0.1%, -3.24 USDT
2025-01-30 17:04:11.607625, 3000, SOL, 241.39, Binance, 241.71, Bitfinex, 0.1%, 0.1%, -2.03 USDT
2025-01-30 17:04:12.396866, 3000, BTC, 105681.5, KuCoin, 105790.0, Bitfinex, 0.1%, 0.1%, -2.92 USDT
2025-01-30 17:04:12.777972, 3000, ETH, 3256.45, KuCoin, 3260.9, Bitfinex, 0.1%, 0.1%, -1.91 USDT
2025-01-30 17:04:13.170089, 3000, PEPE, 1.312e-05, Binance, 1.312e-05, Binance, 0.1%, 0.1%, -6.00 USDT
2025-01-30 17:04:13.563593, 3000, DOGE, 0.33636, Binance, 0.33641, KuCoin, 0.1%, 0.1%, -5.55 USDT
2025-01-30 17:04:14.430753, 3000, XRP, 3.1285, Binance, 3.1354, Bitfinex, 0.1%, 0.1%, 0.61 USDT
2025-01-30 17:04:29.486445, 3000, SOL, 241.569, KuCoin, 241.64, Bitfinex, 0.1%, 0.1%, -5.12 USDT
2025-01-30 17:04:29.866645, 3000, BTC, 105681.6, KuCoin, 105790.0, Bitfinex, 0.1%, 0.1%, -2.93 USDT
2025-01-30 17:04:30.273621, 3000, ETH, 3257.73, KuCoin, 3260.9, Bitfinex, 0.1%, 0.1%, -3.08 USDT
2025-01-30 17:04:30.942367, 3000, PEPE, 1.313e-05, Binance, 1.314e-05, KuCoin, 0.1%, 0.1%, -3.72 USDT
2025-01-30 17:04:31.355330, 3000, DOGE, 0.33644, Binance, 0.33646, KuCoin, 0.1%, 0.1%, -5.82 USDT
2025-01-30 17:04:31.776245, 3000, XRP, 3.1291, Binance, 3.1354, Bitfinex, 0.1%, 0.1%, 0.03 USDT
2025-01-30 17:04:32.289749, 3000, ADA, 0.9789, Binance, 0.97947, Bitfinex, 0.1%, 0.1%, -4.25 USDT
